item_id,order_id,product_id,quantity,unit_price,discount_percent
2,257,99,2,73.56,25.43
4,66,34,5,336.95,5.23
5,239,5,9,19.55,21.52
6,266,3,6,232.58,3.27
7,80,42,7,198.91,0.74
8,999,84,5,411.55,27.91
9,624,41,9,719.35,11.37
12,250,99,4,58.78,7.23
13,371,72,6,323.35,12.57
14,129,32,7,481.48,23.88
15,419,19,4,347.01,3.62
16,953,13,1,324.14,2.19
17,398,46,9,525.28,24.74
18,111,6,6,474.48,22.22
19,717,24,10,326.14,26.87
20,665,42,9,231.04,6.97
21,531,75,7,606.73,28.61
22,904,27,5,485.81,8.54
23,450,22,5,473.29,19.99
24,859,22,1,457.12,0.2
25,209,74,8,507.57,3.29
26,456,64,3,358.32,10.61
27,745,21,5,678.83,2.22
28,40,91,6,178.99,18.78
29,252,49,4,316.93,24.42
31,270,81,6,449.03,9.0
32,497,81,6,454.98,28.89
33,430,42,7,201.26,3.41
35,331,41,8,546.76,14.57
36,47,53,3,398.51,29.05
38,532,69,3,395.58,8.71
41,898,11,9,165.12,0.44
42,156,76,4,159.55,12.75
43,470,34,10,321.74,29.01
44,930,65,1,99.64,22.88
45,592,51,8,84.02,9.97
46,98,27,8,537.59,25.14
47,779,99,7,59.5,9.64
48,6,27,8,580.02,9.66
49,880,94,2,69.27,0.41
50,203,15,7,466.97,4.2
52,210,92,10,178.16,27.81
54,339,80,3,721.32,100.0
55,314,99,5,60.56,17.78
56,183,14,9,506.16,23.16
57,827,79,8,538.02,6.49
60,171,36,7,516.93,20.56
61,357,47,6,113.23,29.94
62,184,2,6,565.43,2.82
64,586,92,10,155.8,26.25
65,40,79,3,649.73,2.48
66,455,8,9,79.43,22.12
67,922,91,10,137.91,19.93
69,765,1,9,375.71,20.89
70,120,24,3,318.81,0.0
71,698,25,3,335.4,8.37
72,856,26,5,338.42,10.65
74,356,88,4,13.64,22.29
75,216,60,2,387.26,14.02
76,675,5,2,19.32,12.64
77,103,46,8,542.67,18.5
78,749,32,6,452.15,1.2
79,958,65,7,84.82,0.86
81,93,99,6,56.43,4.42
82,83,27,4,601.09,0.15
83,564,90,8,626.07,22.89
84,782,52,5,440.58,11.82
85,759,4,10,353.36,0.0
86,142,6,7,411.19,4.52
88,884,2,3,592.09,14.58
89,790,55,2,227.99,11.18
90,548,15,7,488.38,4.51
91,605,66,8,220.98,26.04
93,305,77,1,130.35,16.05
94,506,36,8,522.28,25.05
97,444,25,5,391.35,20.83
98,221,56,3,310.91,27.29
100,333,79,10,610.72,9.86
104,291,63,7,219.65,25.49
105,114,23,7,341.02,27.01
106,646,88,6,12.29,12.12
107,947,23,1,369.32,5.17
108,669,54,1,621.51,29.97
110,399,25,3,330.13,14.17
111,136,4,8,362.59,7.26
112,657,78,3,552.36,22.46
113,533,50,7,430.02,21.47
115,524,57,2,249.92,17.39
116,376,44,4,74.95,19.26
117,504,97,5,443.47,7.74
118,144,37,6,173.03,21.48
119,731,38,3,493.34,19.1
120,311,2,9,583.06,18.55
121,160,65,6,91.48,26.12
123,511,82,9,241.4,0.99
124,520,71,9,134.88,17.0
125,758,84,4,410.9,18.27
126,195,9,3,340.21,17.57
128,499,2,2,626.81,17.67
129,1,53,8,450.47,8.51
130,545,36,9,544.43,28.37
131,998,64,2,355.58,25.86
132,843,100,4,323.83,15.91
133,625,87,3,370.28,4.74
134,529,84,7,542.35,14.16
136,992,83,8,607.81,6.26
138,77,42,10,183.36,19.78
139,499,78,1,592.75,11.08
140,138,10,7,484.69,17.22
141,336,98,9,407.68,23.16
142,729,47,8,105.07,6.83
143,995,33,1,204.68,24.18
144,62,66,10,257.76,23.95
145,589,9,10,327.04,4.75
147,757,43,10,402.34,24.61
149,546,86,10,406.35,17.31
150,316,4,1,420.61,9.82
151,214,21,5,698.72,0.82
156,988,83,1,583.22,3.84
158,760,86,2,346.44,12.11
162,629,13,10,320.02,28.27
163,98,37,2,197.0,9.03
164,605,74,5,528.75,19.84
165,36,50,4,442.75,25.06
166,12,62,4,141.83,13.56
167,559,96,9,131.74,7.66
168,563,13,6,392.48,12.8
169,97,59,2,145.48,9.21
170,85,65,9,80.0,0.5
172,163,22,10,446.45,16.22
174,570,27,10,597.6,4.21
175,996,32,3,422.34,25.03
176,283,52,10,443.19,20.17
177,121,68,10,382.33,3.75
178,73,97,6,386.74,25.14
180,372,86,7,423.97,8.41
181,258,43,5,333.22,24.18
183,617,83,10,525.86,17.4
184,835,96,8,118.37,28.21
186,870,46,6,515.04,23.51
187,651,21,9,694.95,23.43
189,655,49,8,398.24,22.64
190,115,40,9,229.72,18.55
191,729,85,5,601.37,3.99
192,754,38,2,562.9,7.38
193,27,89,4,224.96,4.36
194,879,57,9,209.18,15.56
195,924,96,6,112.85,27.0
196,366,89,4,179.8,27.52
197,549,78,6,647.22,29.55
198,55,57,7,197.5,13.45
199,489,19,6,416.55,28.42
201,897,53,9,503.34,29.13
202,602,10,9,427.33,29.39
203,856,84,2,464.41,21.03
207,72,25,8,341.83,26.16
209,813,40,2,256.45,27.01
212,773,13,2,364.19,17.25
213,560,37,8,191.13,12.13
214,504,72,7,355.88,23.13
216,990,25,9,400.19,22.16
217,380,6,2,417.04,9.61
218,585,2,7,678.85,0.14
219,852,23,4,321.14,4.25
220,904,88,5,14.41,8.18
221,424,25,8,380.18,1.25
222,707,82,3,227.43,9.82
223,698,89,9,190.22,22.83
224,207,72,4,325.37,3.28
225,189,89,4,220.34,13.26
227,474,83,7,495.08,5.52
231,586,37,7,194.33,18.38
232,466,20,6,290.94,28.89
233,165,3,5,269.67,16.24
234,861,27,7,545.97,28.57
235,682,93,4,508.32,26.21
236,922,98,6,425.26,3.26
237,853,80,4,577.07,11.53
239,203,41,3,655.1,22.9
242,297,72,3,369.98,12.29
243,717,89,4,182.96,13.35
245,21,86,6,330.59,4.05
247,637,54,6,558.86,15.61
248,928,84,5,454.68,8.19
250,712,90,6,640.18,12.22
