order_id,customer_id,order_date,status,region_code
1,261,2024-11-18 00:27:54,SHIPPED,US-WEST
3,292,2025-10-13 14:00:37,PLACED,UNKNOWN
4,135,2026-03-19 08:59:08,DELIVERED,EU
5,213,2025-11-25 16:31:07,DELIVERED,US-WEST
6,262,2025-05-29 20:59:08,DELIVERED,US-EAST
7,489,2025-03-29 07:32:42,PLACED,APAC
8,342,2024-10-22 02:24:28,RETURNED,US-EAST
9,268,2025-12-05 23:43:15,SHIPPED,EU
11,322,2025-10-05 09:24:42,SHIPPED,US-WEST
12,53,2025-11-15 14:01:56,DELIVERED,US-EAST
14,284,2025-01-25 04:11:28,DELIVERED,US-WEST
15,139,2024-11-01 17:04:46,DELIVERED,US-EAST
16,24,2025-10-06 12:40:00,DELIVERED,EU
17,5,2024-11-06 16:48:44,DELIVERED,US-WEST
18,253,2025-08-09 09:13:57,CANCELLED,US-WEST
19,13,2026-05-12 05:47:10,DELIVERED,UNKNOWN
20,435,2024-11-15 13:22:19,PLACED,APAC
21,73,2024-11-29 18:21:11,DELIVERED,APAC
22,499,2026-06-04 07:53:07,DELIVERED,APAC
23,223,2025-08-12 07:13:32,DELIVERED,APAC
24,163,2025-05-23 04:39:46,SHIPPED,US-EAST
25,239,2026-07-08 11:10:53,SHIPPED,APAC
26,62,2025-11-08 13:19:14,DELIVERED,US-EAST
27,76,2026-05-03 06:38:30,RETURNED,EU
28,16,2026-01-13 11:09:11,DELIVERED,US-EAST
29,72,2026-03-22 13:06:44,DELIVERED,US-WEST
30,323,2026-06-22 10:11:39,PLACED,US-EAST
31,463,2025-01-05 10:08:30,CANCELLED,EU
32,26,2025-10-16 20:53:33,DELIVERED,US-EAST
33,182,2025-07-10 07:24:31,DELIVERED,US-EAST
35,453,2025-01-07 10:38:40,DELIVERED,US-EAST
36,184,2025-05-27 01:38:13,SHIPPED,EU
39,295,2026-02-11 06:58:36,DELIVERED,US-WEST
40,413,2025-10-29 01:01:13,DELIVERED,EU
41,289,2025-08-08 01:03:19,PLACED,EU
44,441,2026-06-04 06:13:24,DELIVERED,US-EAST
45,500,2025-10-09 13:56:53,RETURNED,EU
46,356,2024-09-19 15:23:48,DELIVERED,US-WEST
47,151,2025-05-03 07:40:16,DELIVERED,APAC
49,255,2024-08-12 12:05:55,RETURNED,US-WEST
50,421,2025-08-16 17:30:27,DELIVERED,EU
52,253,2025-12-12 15:42:42,PLACED,US-WEST
54,193,2025-10-16 03:07:28,DELIVERED,EU
55,248,2024-12-07 20:21:02,SHIPPED,APAC
56,106,2026-05-20 03:03:08,SHIPPED,EU
58,45,2026-05-02 17:24:00,DELIVERED,US-EAST
59,42,2025-08-23 02:08:55,DELIVERED,EU
61,289,2024-10-07 09:39:12,DELIVERED,EU
62,388,2025-11-24 10:27:27,DELIVERED,APAC
64,410,2025-08-28 19:41:18,RETURNED,APAC
66,76,2026-06-15 11:32:23,DELIVERED,US-EAST
67,283,2025-12-08 10:01:11,SHIPPED,APAC
68,291,2025-06-11 04:34:03,DELIVERED,US-EAST
69,451,2025-06-03 07:15:44,SHIPPED,APAC
70,74,2026-04-30 14:07:56,PLACED,EU
71,244,2025-12-22 08:07:25,DELIVERED,EU
72,440,2025-06-09 08:05:19,DELIVERED,APAC
73,374,2026-06-15 23:33:49,DELIVERED,APAC
75,451,2026-02-12 03:39:46,DELIVERED,US-EAST
76,471,2025-04-13 02:49:33,SHIPPED,APAC
77,16,2026-03-10 09:02:50,DELIVERED,APAC
78,84,2026-05-24 16:29:08,SHIPPED,US-EAST
79,293,2026-04-03 03:15:28,DELIVERED,US-WEST
80,11,2025-09-24 16:34:30,DELIVERED,US-WEST
81,5,2025-06-06 19:23:32,DELIVERED,EU
82,179,2025-02-02 02:06:28,PLACED,APAC
83,340,2026-02-10 02:25:05,SHIPPED,EU
84,33,2026-05-26 07:27:57,DELIVERED,EU
85,124,2024-09-30 13:33:58,DELIVERED,EU
86,336,2025-10-10 20:44:37,RETURNED,US-EAST
87,418,2025-09-01 01:30:36,DELIVERED,APAC
88,260,2025-02-04 11:39:14,SHIPPED,EU
89,133,2024-08-04 09:53:05,SHIPPED,EU
90,115,2026-01-24 21:31:11,DELIVERED,EU
91,61,2024-08-05 14:40:41,SHIPPED,US-EAST
93,292,2025-08-14 13:52:09,DELIVERED,US-WEST
94,324,2025-04-30 23:58:17,SHIPPED,US-WEST
95,392,2024-12-28 06:30:00,DELIVERED,APAC
97,272,2025-05-25 15:59:30,SHIPPED,EU
98,258,2024-10-17 04:08:10,DELIVERED,EU
99,269,2025-06-07 05:35:06,SHIPPED,APAC
103,281,2025-09-16 08:06:13,DELIVERED,US-EAST
104,340,2025-10-20 18:38:29,DELIVERED,US-EAST
105,145,2026-07-24 22:03:48,RETURNED,EU
106,184,2025-05-17 08:33:53,DELIVERED,US-WEST
108,262,2025-09-07 04:07:00,SHIPPED,APAC
109,238,2025-09-11 03:40:04,DELIVERED,EU
111,490,2025-09-12 06:28:29,DELIVERED,US-WEST
112,234,2025-07-19 07:34:08,DELIVERED,US-WEST
113,31,2026-07-22 12:27:23,DELIVERED,APAC
114,93,2025-09-25 19:22:02,DELIVERED,US-WEST
115,455,2026-02-16 04:21:13,DELIVERED,US-WEST
116,174,2025-05-17 20:23:34,DELIVERED,US-WEST
117,329,2024-11-09 03:21:56,CANCELLED,UNKNOWN
119,26,2024-10-26 07:01:29,DELIVERED,US-EAST
120,230,2025-01-15 00:51:14,DELIVERED,US-EAST
