product_id,product_name,category,subcategory,cost_price
1,Clothing Morning,Clothing,Outerwear,283.07
2,Clothing Action,Clothing,Outerwear,461.89
3,Home Recognize,Home,Furniture,194.81
4,Electronics Edge,Electronics,Smartphones,283.84
5,Books Thus,Books,Non-Fiction,17.51
6,Clothing Sure,Clothing,Shirts,350.86
7,Clothing Positive,Clothing,Outerwear,196.52
8,Home Return,Home,Kitchen,58.32
9,Books Company,Books,Sci-Fi,285.64
10,Clothing Sometimes,Clothing,Other,362.81
11,Home My,Home,Decor,130.41
12,Home Challenge,Home,Kitchen,372.4
13,Books Like,Books,Non-Fiction,277.81
14,Clothing Collection,Clothing,Shirts,410.82
15,Electronics Country,Electronics,Smartphones,356.51
16,Electronics Others,Electronics,Laptops,336.71
17,Books Others,Books,Other,18.2
18,Home Receive,Home,Other,405.02
19,Clothing Turn,Clothing,Shirts,313.69
20,Home Child,Home,Kitchen,208.95
21,Clothing Simply,Clothing,Pants,495.92
22,Electronics Sign,Electronics,Smartphones,322.01
23,Clothing Member,Clothing,Shirts,287.27
24,Electronics Wrong,Electronics,Smartphones,287.72
25,Home Her,Home,Furniture,276.09
26,Electronics Amount,Electronics,Laptops,297.65
27,Books Discuss,Books,Fiction,426.23
28,Home Sort,Home,Bedding,364.84
29,Home Method,Home,Furniture,306.53
30,Books Each,Books,Sci-Fi,250.4
31,Home At,Home,Bedding,51.99
32,Home Everything,Home,Decor,358.72
33,Clothing Hope,Clothing,Outerwear,161.05
34,Home East,Home,Kitchen,282.92
35,Books And,Books,Fiction,303.04
36,Home Relate,Home,Other,365.17
37,Clothing Design,Clothing,Pants,141.52
38,Clothing National,Clothing,Shirts,393.51
39,Home Whatever,Home,Kitchen,312.17
40,Books Strong,Books,Fiction,196.15
41,Home Herself,Home,Bedding,487.37
42,Clothing Important,Clothing,Shoes,163.95
43,Books Manager,Books,Sci-Fi,292.18
44,Clothing Whose,Clothing,Shoes,65.81
45,Clothing Look,Clothing,Pants,236.19
46,Clothing Upon,Clothing,Outerwear,425.42
47,Books Any,Books,Biography,85.53
48,Books Among,Books,Biography,206.39
49,Books Range,Books,Fiction,273.08
50,Electronics Game,Electronics,Smartphones,327.03
51,Electronics Board,Electronics,Accessories,61.91
52,Electronics Score,Electronics,Audio,346.96
53,Clothing Near,Clothing,Outerwear,348.31
54,Clothing Property,Clothing,Shoes,461.07
55,Electronics Themselves,Electronics,Smartphones,178.1
56,Clothing Eye,Clothing,Outerwear,231.7
57,Electronics They,Electronics,Audio,178.11
58,Electronics Site,Electronics,Laptops,280.44
59,Home Everyone,Home,Bedding,100.38
60,Books Particular,Books,Biography,300.18
61,Books Off,Books,Fiction,406.28
62,Electronics Over,Electronics,Smartphones,106.57
63,Electronics Contain,Electronics,Audio,163.57
64,Books However,Books,Biography,312.51
65,Home Ready,Home,Furniture,67.3
66,Home Human,Home,Decor,198.02
67,Clothing History,Clothing,Outerwear,499.95
68,Clothing People,Clothing,Outerwear,313.51
69,Home Ready,Home,Furniture,285.18
70,Books Water,Books,Biography,249.46
71,Electronics Thing,Electronics,Smartphones,120.17
72,Home Bank,Home,Decor,252.7
73,Electronics Nation,Electronics,Smartphones,275.6
74,Electronics Enter,Electronics,Accessories,416.73
75,Clothing However,Clothing,Shoes,432.48
76,Electronics Whatever,Electronics,Accessories,112.84
77,Home Dog,Home,Bedding,111.4
78,Electronics Name,Electronics,Audio,489.71
79,Home Into,Home,Kitchen,451.08
80,Electronics Head,Electronics,Laptops,496.32
81,Clothing Technology,Clothing,Pants,383.12
82,Books Trip,Books,Biography,193.83
83,Electronics Hair,Electronics,Smartphones,439.89
84,Books Message,Books,Biography,368.16
85,Books Structure,Books,Sci-Fi,484.38
86,Clothing Meet,Clothing,Outerwear,293.19
87,Books Very,Books,Sci-Fi,316.83
88,Books Pm,Books,Fiction,10.33
89,Books According,Books,Non-Fiction,157.91
90,Home More,Home,Furniture,452.86
91,Clothing Us,Clothing,Shirts,124.73
92,Electronics Chair,Electronics,Other,120.83
93,Books Less,Books,Other,431.57
94,Clothing Company,Clothing,Outerwear,60.19
95,Home Drug,Home,Kitchen,379.05
96,Clothing Ball,Clothing,Pants,90.42
97,Home My,Home,Decor,346.42
98,Clothing Question,Clothing,Shirts,367.7
99,Home Fast,Home,Bedding,51.28
100,Home Development,Home,Furniture,263.7
