item_id,order_id,product_id,quantity,unit_price,discount_percent
1,819,36,4.0,485.1,1.16
2,257,99,2.0,73.56,25.43
3,10,46,9.0,627.72,8.29
4,66,34,5.0,336.95,5.23
5,239,5,9.0,19.55,21.52
6,266,3,6.0,232.58,3.27
7,80,42,7.0,198.91,0.74
8,999,84,5.0,411.55,27.91
9,624,41,9.0,719.35,11.37
10,154,84,2.0,488.24,29.93
11,552,68,10.0,400.17,8.08
12,250,99,4.0,58.78,7.23
13,371,72,6.0,323.35,12.57
14,129,32,7.0,481.48,23.88
15,419,19,4.0,347.01,3.62
16,953,13,1.0,324.14,2.19
17,398,46,9.0,525.28,24.74
18,111,6,6.0,474.48,22.22
19,717,24,10.0,326.14,26.87
20,665,42,9.0,231.04,6.97
21,531,75,7.0,606.73,28.61
22,904,27,5.0,485.81,8.54
23,450,22,5.0,473.29,19.99
24,859,22,1.0,457.12,0.2
25,209,74,8.0,507.57,3.29
26,456,64,3.0,358.32,10.61
27,745,21,5.0,678.83,2.22
28,40,91,6.0,178.99,18.78
29,252,49,4.0,316.93,24.42
30,204,12,-4.0,492.72,6.26
31,270,81,6.0,449.03,9.0
32,497,81,6.0,454.98,28.89
33,430,42,7.0,201.26,3.41
34,793,63,-4.0,194.0,25.53
35,331,41,8.0,546.76,14.57
36,47,53,3.0,398.51,29.05
37,2037,93,7.0,632.2,23.01
38,532,69,3.0,395.58,8.71
39,424,94,0.0,88.85,3.08
40,161,4,0.0,404.53,11.34
41,898,11,9.0,165.12,0.44
42,156,76,4.0,159.55,12.75
43,470,34,10.0,321.74,29.01
44,930,65,1.0,99.64,22.88
45,592,51,8.0,84.02,9.97
46,98,27,8.0,537.59,25.14
47,779,99,7.0,59.5,9.64
48,6,27,8.0,580.02,9.66
49,880,94,2.0,69.27,0.41
50,203,15,7.0,466.97,4.2
51,10,56,5.0,289.31,19.51
52,210,92,10.0,178.16,27.81
53,139,92,1.0,155.65,-6.67
54,339,80,3.0,721.32,114.93
55,314,99,5.0,60.56,17.78
56,183,14,9.0,506.16,23.16
57,827,79,8.0,538.02,6.49
58,147,1,1.0,359.54,14.15
59,247,49,8.0,335.01,2.35
60,171,36,7.0,516.93,20.56
61,357,47,6.0,113.23,29.94
62,184,2,6.0,565.43,2.82
63,2063,35,5.0,454.04,21.13
64,586,92,10.0,155.8,26.25
65,40,79,3.0,649.73,2.48
66,455,8,9.0,79.43,22.12
67,922,91,10.0,137.91,19.93
68,63,98,5.0,444.99,5.96
69,765,1,9.0,375.71,20.89
70,120,24,3.0,318.81,-7.88
71,698,25,3.0,335.4,8.37
72,856,26,5.0,338.42,10.65
73,536,81,0.0,480.54,16.14
74,356,88,4.0,13.64,22.29
75,216,60,2.0,387.26,14.02
76,675,5,2.0,19.32,12.64
77,103,46,8.0,542.67,18.5
78,749,32,6.0,452.15,1.2
79,958,65,7.0,84.82,0.86
80,908,90,4.0,523.42,19.9
81,93,99,6.0,56.43,4.42
82,83,27,4.0,601.09,0.15
83,564,90,8.0,626.07,22.89
84,782,52,5.0,440.58,11.82
85,759,4,10.0,353.36,-8.62
