order_id,customer_id,order_date,status,region_code
1,261.0,2024-11-18 00:27:54,SHIPPED,US-WEST
2,256.0,23-11-2024,DELIVERED,EU
3,292.0,2025-10-13 14:00:37,PLACED,
4,135.0,2026-03-19 08:59:08,DELIVERED,EU
5,213.0,2025-11-25 16:31:07,DELIVERED,US-WEST
6,262.0,2025-05-29 20:59:08,DELIVERED,US-EAST
7,489.0,2025-03-29 07:32:42,PLACED,APAC
8,342.0,2024-10-22 02:24:28,RETURNED,US-EAST
9,268.0,2025-12-05 23:43:15,SHIPPED,EU
10,,2025-07-15 20:36:03,RETURNED,US-EAST
11,322.0,2025-10-05 09:24:42,SHIPPED,US-WEST
12,53.0,2025-11-15 14:01:56,DELIVERED,US-EAST
13,,2025-05-27 03:57:15,DELIVERED,US-WEST
14,284.0,2025-01-25 04:11:28,DELIVERED,US-WEST
15,139.0,2024-11-01 17:04:46,DELIVERED,US-EAST
16,24.0,2025-10-06 12:40:00,DELIVERED,EU
17,5.0,2024-11-06 16:48:44,DELIVERED,US-WEST
18,253.0,2025-08-09 09:13:57,CANCELLED,US-WEST
19,13.0,2026-05-12 05:47:10,DELIVERED,
20,435.0,2024-11-15 13:22:19,PLACED,APAC
21,73.0,2024-11-29 18:21:11,DELIVERED,APAC
22,499.0,2026-06-04 07:53:07,DELIVERED,APAC
23,223.0,2025-08-12 07:13:32,DELIVERED,APAC
24,163.0,2025-05-23 04:39:46,SHIPPED,US-EAST
25,239.0,2026-07-08 11:10:53,SHIPPED,APAC
26,62.0,2025-11-08 13:19:14,DELIVERED,US-EAST
27,76.0,2026-05-03 06:38:30,RETURNED,EU
28,16.0,2026-01-13 11:09:11,DELIVERED,US-EAST
29,72.0,2026-03-22 13:06:44,DELIVERED,US-WEST
30,323.0,2026-06-22 10:11:39,PLACED,US-EAST
31,463.0,2025-01-05 10:08:30,CANCELLED,EU
32,26.0,2025-10-16 20:53:33,DELIVERED,US-EAST
33,182.0,2025-07-10 07:24:31,DELIVERED,US-EAST
34,332.0,17-07-2025,SHIPPED,APAC
35,453.0,2025-01-07 10:38:40,DELIVERED,US-EAST
36,184.0,2025-05-27 01:38:13,SHIPPED,EU
37,1537.0,2024-11-12 12:39:50,DELIVERED,APAC
38,120.0,2025-09-29 10:49:02,CANCELLED,US-EAST
39,295.0,2026-02-11 06:58:36,DELIVERED,US-WEST
40,413.0,2025-10-29 01:01:13,DELIVERED,EU
41,289.0,2025-08-08 01:03:19,PLACED,EU
42,29.0,11/30/2024,DELIVERED,US-WEST
43,91.0,12/13/2025,DELIVERED,US-WEST
44,441.0,2026-06-04 06:13:24,DELIVERED,US-EAST
45,500.0,2025-10-09 13:56:53,RETURNED,EU
46,356.0,2024-09-19 15:23:48,DELIVERED,US-WEST
47,151.0,2025-05-03 07:40:16,DELIVERED,APAC
48,,2024-11-04 20:51:12,SHIPPED,US-WEST
49,255.0,2024-08-12 12:05:55,RETURNED,US-WEST
50,421.0,2025-08-16 17:30:27,DELIVERED,EU
51,180.0,2026-08-13 16:08:54,DELIVERED,APAC
52,253.0,2025-12-12 15:42:42,PLACED,US-WEST
53,,2026-03-26 08:20:31,SHIPPED,US-EAST
54,193.0,2025-10-16 03:07:28,DELIVERED,EU
55,248.0,2024-12-07 20:21:02,SHIPPED,APAC
56,106.0,2026-05-20 03:03:08,SHIPPED,EU
57,,2025-10-11 23:22:49,PLACED,US-WEST
58,45.0,2026-05-02 17:24:00,DELIVERED,US-EAST
59,42.0,2025-08-23 02:08:55,DELIVERED,EU
60,95.0,31-01-2026,DELIVERED,APAC
61,289.0,2024-10-07 09:39:12,DELIVERED,EU
62,388.0,2025-11-24 10:27:27,DELIVERED,APAC
63,480.0,05/20/2026,CANCELLED,US-EAST
64,410.0,2025-08-28 19:41:18,RETURNED,APAC
65,498.0,08/01/2024,DELIVERED,APAC
66,76.0,2026-06-15 11:32:23,DELIVERED,US-EAST
67,283.0,2025-12-08 10:01:11,SHIPPED,APAC
68,291.0,2025-06-11 04:34:03,DELIVERED,US-EAST
69,451.0,2025-06-03 07:15:44,SHIPPED,APAC
70,74.0,2026-04-30 14:07:56,PLACED,EU
71,244.0,2025-12-22 08:07:25,DELIVERED,EU
72,440.0,2025-06-09 08:05:19,DELIVERED,APAC
73,374.0,2026-06-15 23:33:49,DELIVERED,APAC
74,445.0,07/18/2025,DELIVERED,APAC
75,451.0,2026-02-12 03:39:46,DELIVERED,US-EAST
76,471.0,2025-04-13 02:49:33,SHIPPED,APAC
77,16.0,2026-03-10 09:02:50,DELIVERED,APAC
78,84.0,2026-05-24 16:29:08,SHIPPED,US-EAST
79,293.0,2026-04-03 03:15:28,DELIVERED,US-WEST
80,11.0,2025-09-24 16:34:30,DELIVERED,US-WEST
81,5.0,2025-06-06 19:23:32,DELIVERED,EU
82,179.0,2025-02-02 02:06:28,PLACED,APAC
83,340.0,2026-02-10 02:25:05,SHIPPED,EU
84,33.0,2026-05-26 07:27:57,DELIVERED,EU
85,124.0,2024-09-30 13:33:58,DELIVERED,EU
86,336.0,2025-10-10 20:44:37,RETURNED,US-EAST
87,418.0,2025-09-01 01:30:36,DELIVERED,APAC
88,260.0,2025-02-04 11:39:14,SHIPPED,EU
89,133.0,2024-08-04 09:53:05,SHIPPED,EU
90,115.0,2026-01-24 21:31:11,DELIVERED,EU
91,61.0,2024-08-05 14:40:41,SHIPPED,US-EAST
92,62.0,2025-08-16,DELIVERED,US-WEST
93,292.0,2025-08-14 13:52:09,DELIVERED,US-WEST
94,324.0,2025-04-30 23:58:17,SHIPPED,US-WEST
95,392.0,2024-12-28 06:30:00,DELIVERED,APAC
96,1596.0,2026-03-10 03:12:06,DELIVERED,US-EAST
97,272.0,2025-05-25 15:59:30,SHIPPED,EU
98,258.0,2024-10-17 04:08:10,DELIVERED,EU
99,269.0,2025-06-07 05:35:06,SHIPPED,APAC
100,486.0,2026-08-08 16:08:54,PLACED,US-WEST
101,259.0,02/07/2025,DELIVERED,EU
102,305.0,08/26/2025,DELIVERED,US-EAST
103,281.0,2025-09-16 08:06:13,DELIVERED,US-EAST
104,340.0,2025-10-20 18:38:29,DELIVERED,US-EAST
105,145.0,2026-07-24 22:03:48,RETURNED,EU
106,184.0,2025-05-17 08:33:53,DELIVERED,US-WEST
107,,2024-12-27 00:17:57,PLACED,APAC
108,262.0,2025-09-07 04:07:00,SHIPPED,APAC
109,238.0,2025-09-11 03:40:04,DELIVERED,EU
110,379.0,2024-12-08,DELIVERED,US-WEST
111,490.0,2025-09-12 06:28:29,DELIVERED,US-WEST
112,234.0,2025-07-19 07:34:08,DELIVERED,US-WEST
113,31.0,2026-07-22 12:27:23,DELIVERED,APAC
114,93.0,2025-09-25 19:22:02,DELIVERED,US-WEST
115,455.0,2026-02-16 04:21:13,DELIVERED,US-WEST
116,174.0,2025-05-17 20:23:34,DELIVERED,US-WEST
117,329.0,2024-11-09 03:21:56,CANCELLED,
118,259.0,22-04-2026,RETURNED,EU
119,26.0,2024-10-26 07:01:29,DELIVERED,US-EAST
120,230.0,2025-01-15 00:51:14,DELIVERED,US-EAST
121,286.0,2026-02-22 16:25:45,DELIVERED,EU
122,336.0,2026-06-23,DELIVERED,APAC
123,308.0,2024-10-12 13:45:29,DELIVERED,
124,325.0,2025-08-06 05:57:47,DELIVERED,US-EAST
125,421.0,2026-02-24 20:27:33,DELIVERED,US-WEST
126,111.0,2026-03-07 15:05:27,DELIVERED,APAC
127,345.0,2025-10-22 08:11:23,PLACED,US-WEST
128,,2025-12-12 19:09:14,DELIVERED,APAC
129,467.0,2024-09-07 09:26:37,DELIVERED,APAC
130,165.0,2025-05-11 06:22:07,RETURNED,US-WEST
131,497.0,2025-11-07 06:45:03,DELIVERED,EU
132,161.0,2026-03-10 04:38:27,CANCELLED,EU
133,68.0,2026-03-23 23:17:23,DELIVERED,EU
134,288.0,2025-07-10 11:52:36,DELIVERED,EU
135,1635.0,2025-10-12 06:56:14,DELIVERED,US-WEST
136,147.0,2024-10-03 17:15:11,PLACED,US-WEST
137,417.0,2025-02-08 08:13:00,DELIVERED,US-WEST
138,122.0,2025-04-27 22:31:54,DELIVERED,US-EAST
139,490.0,10/18/2025,DELIVERED,EU
140,441.0,2026-01-10 22:14:02,DELIVERED,EU
141,309.0,2026-06-10 08:06:51,SHIPPED,US-EAST
142,264.0,2025-05-19 16:25:34,SHIPPED,US-WEST
143,170.0,2025-11-22 02:07:45,DELIVERED,US-EAST
144,432.0,2025-02-25 09:29:39,RETURNED,EU
145,267.0,2026-07-04 07:08:45,DELIVERED,US-EAST
146,340.0,2024-09-11 08:09:48,DELIVERED,APAC
147,,2026-02-15 18:05:37,DELIVERED,US-WEST
148,165.0,2024-12-06 06:41:28,DELIVERED,EU
149,395.0,07/27/2025,PLACED,US-WEST
150,50.0,2024-08-08,DELIVERED,US-WEST
151,443.0,2026-04-12 21:27:29,CANCELLED,APAC
152,1652.0,2026-06-10,SHIPPED,US-EAST
153,37.0,2025-08-13 09:42:26,PLACED,APAC
154,1654.0,12/20/2024,PLACED,US-EAST
155,476.0,2026-02-23 07:18:50,DELIVERED,EU
156,203.0,2025-08-07 20:33:18,DELIVERED,APAC
157,152.0,2025-12-22 22:15:03,PLACED,EU
158,448.0,2026-08-20 16:08:54,DELIVERED,US-EAST
159,463.0,2025-12-05 02:37:25,SHIPPED,US-WEST
160,428.0,2025-04-19 20:17:00,CANCELLED,US-EAST
161,282.0,2025-11-21,DELIVERED,US-WEST
162,170.0,2026-07-13 03:16:06,DELIVERED,US-EAST
163,231.0,2024-10-02 18:31:50,RETURNED,EU
164,,2025-02-17 17:05:54,DELIVERED,APAC
165,348.0,2025-05-18 19:13:17,SHIPPED,EU
166,331.0,2025-12-01 22:15:00,DELIVERED,US-WEST
167,40.0,2025-05-23 04:34:09,SHIPPED,APAC
168,19.0,2024-12-24 13:03:58,SHIPPED,US-WEST
169,396.0,2024-08-11 15:09:28,DELIVERED,US-EAST
170,340.0,2025-12-26 16:48:11,SHIPPED,US-WEST
171,486.0,2026-06-01 22:38:43,DELIVERED,EU
172,119.0,2025-09-05 08:07:57,CANCELLED,EU
173,,2026-01-12 03:00:58,SHIPPED,EU
174,279.0,2025-09-12 06:49:31,DELIVERED,US-EAST
175,465.0,2025-09-29 15:49:45,PLACED,APAC
176,452.0,2025-04-10 21:33:19,SHIPPED,US-WEST
177,309.0,2026-03-18 07:46:17,DELIVERED,US-EAST
178,108.0,2025-01-12 12:00:05,SHIPPED,US-WEST
179,323.0,2026-07-03 22:52:13,DELIVERED,US-WEST
180,1680.0,2025-06-28 03:49:50,SHIPPED,EU
181,311.0,2025-05-22 02:24:15,DELIVERED,US-WEST
182,94.0,2024-08-03 19:33:49,PLACED,APAC
183,194.0,2024-12-06 02:33:12,DELIVERED,APAC
184,91.0,2025-08-04 17:06:06,DELIVERED,US-EAST
185,462.0,2025-09-11 22:22:00,DELIVERED,APAC
186,23.0,2025-08-02 11:22:21,DELIVERED,APAC
187,465.0,2025-04-05 10:05:16,CANCELLED,APAC
188,43.0,2024-10-24 18:39:56,SHIPPED,US-EAST
189,4.0,2025-08-09 20:30:18,DELIVERED,US-EAST
190,130.0,2025-02-04 09:42:01,DELIVERED,APAC
191,402.0,2025-08-27 19:28:57,DELIVERED,EU
192,204.0,2026-03-02 04:24:23,CANCELLED,APAC
193,52.0,2025-01-29 21:29:07,RETURNED,US-EAST
194,3.0,2025-06-19 09:54:32,SHIPPED,US-EAST
195,41.0,2025-05-02 11:52:08,DELIVERED,EU
196,485.0,07/19/2025,DELIVERED,EU
197,262.0,2025-01-24,PLACED,US-EAST
198,142.0,2025-04-05 04:44:45,PLACED,US-EAST
199,47.0,2026-02-17 04:56:23,SHIPPED,EU
200,311.0,2025-12-10,DELIVERED,APAC
201,258.0,2026-05-16 10:02:13,RETURNED,EU
202,289.0,2026-04-21 06:01:05,DELIVERED,APAC
203,247.0,2025-07-18 00:13:50,DELIVERED,US-WEST
204,1704.0,2025-02-04 11:54:46,DELIVERED,US-EAST
205,176.0,2025-05-06 13:47:16,DELIVERED,EU
206,477.0,2026-02-26 17:32:21,SHIPPED,EU
207,128.0,2025-01-08 04:28:34,DELIVERED,US-EAST
208,,2025-12-24 21:58:58,DELIVERED,APAC
209,460.0,2026-03-07 02:58:11,DELIVERED,EU
210,66.0,2025-05-28 06:41:03,DELIVERED,EU
211,90.0,2025-04-14 23:58:05,SHIPPED,
212,298.0,2025-08-26 04:03:53,DELIVERED,EU
213,314.0,2025-12-24 15:43:23,DELIVERED,EU
214,231.0,2025-02-08 12:43:41,DELIVERED,US-EAST
215,285.0,2025-02-25 23:51:23,PLACED,US-WEST
216,216.0,2025-05-18 10:24:51,DELIVERED,EU
217,288.0,2026-01-28 15:33:05,DELIVERED,US-WEST
218,323.0,2025-04-06 21:34:31,DELIVERED,EU
219,180.0,2025-09-08 22:56:59,SHIPPED,US-WEST
220,167.0,2024-12-08 14:58:16,DELIVERED,APAC
221,490.0,2025-03-17 09:15:44,PLACED,APAC
