product_id,product_name,category,subcategory,cost_price
1,Clothing morning,Clothing,Outerwear,283.07
2,Clothing action,Clothing,Outerwear,461.89
3,Home recognize,Home,Furniture,194.81
4,Electronics edge,Electronics,Smartphones,283.84
5,Books thus,Books,Non-Fiction,17.51
6,Clothing sure,Clothing,Shirts,350.86
7,Clothing positive,Clothing,Outerwear,196.52
8,Home return,Home,Kitchen,58.32
9,Books company,Books,Sci-Fi,285.64
10,Clothing sometimes,Clothing,,362.81
11,Home my,Home,Decor,130.41
12,Home challenge,Home,Kitchen,372.4
13,Books like,Books,Non-Fiction,277.81
14,Clothing collection,Clothing,Shirts,410.82
15,Electronics country,Electronics,Smartphones,356.51
16,Electronics others,Electronics,Laptops,336.71
17,Books others,Books,,18.2
18,Home receive,Home,,405.02
19,Clothing turn,Clothing,Shirts,313.69
20,Home child,Home,Kitchen,208.95
21,Clothing simply,Clothing,Pants,495.92
22,Electronics sign,Electronics,Smartphones,322.01
23,Clothing member,Clothing,Shirts,287.27
24,Electronics wrong,Electronics,Smartphones,287.72
25,Home her,Home,Furniture,276.09
26,Electronics amount,Electronics,Laptops,297.65
27,Books discuss,Books,Fiction,426.23
28,Home sort,Home,Bedding,364.84
29,Home method,Home,Furniture,306.53
30,Books each,Books,Sci-Fi,250.4
31,Home at,Home,Bedding,51.99
32,Home everything,Home,Decor,358.72
33,  Clothing hope  ,Clothing,Outerwear,161.05
34,Home east,Home,Kitchen,282.92
35,Books and,Books,Fiction,303.04
36,Home relate,Home,,365.17
37,Clothing design,Clothing,Pants,141.52
38,Clothing national,Clothing,Shirts,393.51
39,Home whatever,Home,Kitchen,312.17
40,BOOKS STRONG,Books,Fiction,196.15
41,Home herself,Home,Bedding,487.37
42,Clothing important,Clothing,Shoes,163.95
43,Books manager,Books,Sci-Fi,292.18
44,Clothing whose,Clothing,Shoes,65.81
45,Clothing look,Clothing,Pants,236.19
46,Clothing upon,Clothing,Outerwear,425.42
47,Books any,Books,Biography,85.53
48,Books among,Books,Biography,206.39
49,Books range,Books,Fiction,273.08
50,Electronics game,Electronics,Smartphones,327.03
51,Electronics board,Electronics,Accessories,61.91
52,Electronics score,Electronics,Audio,346.96
53,Clothing near,Clothing,Outerwear,348.31
54,Clothing property,Clothing,Shoes,461.07
55,Electronics themselves,Electronics,Smartphones,178.1
56,Clothing eye,Clothing,Outerwear,231.7
57,  Electronics they  ,Electronics,Audio,178.11
58,Electronics site,Electronics,Laptops,280.44
59,Home everyone,Home,Bedding,100.38
60,Books particular,Books,Biography,300.18
61,Books off,Books,Fiction,406.28
62,Electronics over,Electronics,Smartphones,106.57
63,Electronics contain,Electronics,Audio,163.57
64,Books however,Books,Biography,312.51
65,Home ready,Home,Furniture,67.3
66,Home human,Home,Decor,198.02
67,Clothing history,Clothing,Outerwear,499.95
68,Clothing people,Clothing,Outerwear,313.51
69,Home ready,Home,Furniture,285.18
70,Books water,Books,Biography,249.46
71,  Electronics thing  ,Electronics,Smartphones,120.17
72,Home bank,Home,Decor,252.7
73,Electronics nation,Electronics,Smartphones,275.6
74,Electronics enter,Electronics,Accessories,416.73
75,Clothing however,Clothing,Shoes,432.48
76,Electronics whatever,Electronics,Accessories,112.84
77,Home dog,Home,Bedding,111.4
78,Electronics name,Electronics,Audio,489.71
79,Home into,Home,Kitchen,451.08
80,Electronics head,Electronics,Laptops,496.32
81,Clothing technology,Clothing,Pants,383.12
82,Books trip,Books,Biography,193.83
83,Electronics hair,Electronics,Smartphones,439.89
84,books message,Books,Biography,368.16
85,Books structure,Books,Sci-Fi,484.38
86,Clothing meet,Clothing,Outerwear,293.19
87,Books very,Books,Sci-Fi,316.83
88,Books PM,Books,Fiction,10.33
89,Books according,Books,Non-Fiction,157.91
90,Home more,Home,Furniture,452.86
91,Clothing us,Clothing,Shirts,124.73
92,Electronics chair,Electronics,,120.83
93,Books less,Books,,431.57
94,Clothing company,Clothing,Outerwear,60.19
95,Home drug,Home,Kitchen,379.05
96,Clothing ball,Clothing,Pants,90.42
97,Home my,Home,Decor,346.42
98,Clothing question,Clothing,Shirts,367.7
99,Home fast,Home,Bedding,51.28
100,Home development,Home,Furniture,263.7
31,Home at,Home,Bedding,51.99
